age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,Salary_50K
29, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, no
32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,yes
17, , 10th,6, Never-married, , Own-child, White, Female,32, United-States, no
30, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, no
31, Local-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, no
42, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, no
24, Private, Bachelors,13, Never-married, Sales, Other-relative, White, Male,40, United-States, no
38, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,yes
56, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,50, Canada,yes
28, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,25, United-States, no
36, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,40, United-States, no
53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,50, United-States, no
56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, no
49, Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States,yes
55, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,56, United-States, no
22, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,41, United-States, no
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,40, United-States, no
40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, no
30, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,40, Germany, no
29, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,yes
19, Private, Some-college,10, Never-married, Other-service, Own-child, Black, Male,35, United-States, no
47, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States,yes
20, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,28, United-States, no
31, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States,yes
35, , HS-grad,9, Married-civ-spouse, , Husband, White, Male,40, United-States, no
39, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, no
28, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,60, United-States, no
24, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,40, United-States, no
38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,35, United-States, no
37, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, no
46, Private, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,36, United-States, no
38, Federal-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, Iran,yes
43, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, no
27, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,35, United-States, no
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,20, United-States, no
49, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States,yes
61, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, no
27, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,40, United-States, no
19, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,30, Mexico, no
45, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States,yes
70, Private, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,40, United-States, no
31, Private, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,30, United-States, no
22, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,24, United-States, no
36, Private, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,24, United-States, no
64, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, no
43, , Some-college,10, Divorced, , Not-in-family, White, Female,40, United-States, no
47, Local-gov, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,38, Mexico, no
34, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, no
33, Private, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,40, Philippines, no
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,35, United-States, no
52, , HS-grad,9, Divorced, , Not-in-family, White, Male,45, United-States,yes
48, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,46, United-States, no
23, Private, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, no
71, Self-emp-not-inc, Some-college,10, Separated, Sales, Unmarried, Black, Male,2, United-States, no
29, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,60, United-States, no
42, Private, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,50, United-States, no
68, , 1st-4th,2, Divorced, , Not-in-family, White, Female,20, United-States, no
25, Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,40, United-States, no
44, Self-emp-inc, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,40, United-States, no
28, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,40, England, no
45, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,yes
36, Private, Some-college,10, Divorced, Other-service, Unmarried, White, Female,40, Mexico, no
39, Federal-gov, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,42, United-States, no
46, State-gov, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,40, United-States, no
18, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,16, United-States, no
66, Local-gov, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,20, United-States, no
27, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,40, United-States, no
28, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, no
51, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,yes
27, Private, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,50, United-States, no
28, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,yes
27, Private, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,25, United-States, no
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, no
34, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,40, United-States, no
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,12, United-States, no
33, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,65, United-States, no
44, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,38, United-States,yes
43, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, no
30, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,45, United-States, no
40, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Mexico,yes
37, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,42, United-States,yes
34, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,40, United-States, no
41, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States, no
53, , Bachelors,13, Divorced, , Not-in-family, White, Female,50, United-States, no
31, Private, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,50, United-States, no
58, State-gov, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,1, United-States,yes
38, Private, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,28, United-States, no
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, no
41, Local-gov, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States, no
47, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,45, United-States, no
41, Federal-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,24, United-States, no
23, Private, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,40, Mexico, no
36, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, no
40, Federal-gov, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,55, United-States,yes
35, Private, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,40, United-States,yes
24, Self-emp-not-inc, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,40, United-States, no
26, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, no
19, , HS-grad,9, Never-married, , Own-child, White, Male,40, Italy, no
51, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States,yes
42, Local-gov, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, no
37, State-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,35, United-States, no
18, Private, 11th,7, Never-married, Sales, Own-child, White, Female,40, United-States, no
36, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,36, United-States,yes
35, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,60, United-States, no
58, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,35, United-States,yes
17, Private, 11th,7, Never-married, Sales, Own-child, White, Female,12, United-States, no
44, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,40, United-States, no
37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,yes
35, Private, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,40, United-States, no
60, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States, no
54, Self-emp-inc, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,yes
37, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,60, United-States,yes
50, Private, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,40, United-States, no
38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50, Poland, no
45, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,55, United-States, no
25, Private, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, no
31, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, no
64, , 1st-4th,2, Divorced, , Not-in-family, White, Male,40, United-States, no
90, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,40, United-States, no
54, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,20, United-States, no
53, Local-gov, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,35, United-States, no
18, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,40, United-States, no
60, , 10th,6, Divorced, , Not-in-family, Amer-Indian-Eskimo, Female,10, United-States, no
66, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,50, United-States, no
75, Private, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female,20, Columbia, no
65, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, no
35, Private, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male,40, United-States, no
41, Private, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,38, United-States, no
25, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,42, United-States, no
33, Private, Some-college,10, Divorced, Craft-repair, Other-relative, Other, Female,40, United-States, no
28, Private, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,55, United-States,yes
59, State-gov, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, no
40, State-gov, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,38, United-States, no
41, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, Iran,yes
38, Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,70, United-States,yes
23, Private, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,40, United-States, no
40, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,yes
41, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,20, United-States, no
24, State-gov, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,50, United-States, no
20, , Some-college,10, Never-married, , Own-child, White, Male,20, United-States, no
38, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, no
56, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,35, , no
58, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,45, United-States,yes
32, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,34, United-States, no
40, Private, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,60, United-States,yes
45, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, , no
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,40, United-States,yes
42, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female,40, United-States, no
59, Local-gov, 10th,6, Widowed, Other-service, Unmarried, Black, Female,30, United-States, no
19, Local-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,40, United-States, no
58, Private, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,20, United-States, no
42, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,40, Cambodia,yes
20, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,40, United-States, no
32, Private, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,30, United-States, no
45, Private, Assoc-voc,11, Widowed, Exec-managerial, Not-in-family, White, Female,45, United-States, no
50, Private, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, no
36, Private, Bachelors,13, Divorced, Prof-specialty, Own-child, White, Female,40, United-States, no
45, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, no
17, Private, 11th,7, Never-married, Other-service, Own-child, White, Male,12, United-States, no
59, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, no
26, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, no
37, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,75, Thailand,yes
19, , Some-college,10, Never-married, , Own-child, White, Male,24, Canada, no
64, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,yes
33, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,45, United-States, no
33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,40, United-States,yes
61, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,yes
17, Private, 9th,5, Never-married, Other-service, Own-child, White, Male,24, United-States, no
50, Self-emp-not-inc, Masters,14, Married-civ-spouse, Farming-fishing, Husband, White, Male,98, United-States, no
27, Local-gov, Masters,14, Never-married, Prof-specialty, Own-child, White, Male,35, United-States, no
30, Private, HS-grad,9, Divorced, Prof-specialty, Own-child, White, Female,40, United-States, no
43, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, no
44, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,yes
35, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States, no
25, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female,40, United-States, no
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,48, United-States,yes
22, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,15, Germany, no
42, Local-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,yes
34, Private, Assoc-acdm,12, Divorced, Sales, Unmarried, Black, Female,45, United-States, no
60, Private, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,42, United-States, no
21, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, no
57, Federal-gov, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,yes
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States,yes
50, Private, Some-college,10, Divorced, Other-service, Not-in-family, White, Male,45, United-States, no
25, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States, no
50, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,40, Ecuador, no
36, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States, no
31, Private, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female,40, United-States, no
29, Local-gov, Bachelors,13, Never-married, Protective-serv, Not-in-family, White, Male,56, United-States, no
21, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,45, United-States, no
27, Private, Bachelors,13, Never-married, Tech-support, Unmarried, Black, Female,40, United-States, no
